@relation InstanceResultListener

@attribute Key_Dataset {cpu}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -S 1'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
cpu,4,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,43.559817,73.270155,36.604499,42.454413,0.91279,0,0,?,?,?,?,?,?,0.012,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,189,20,35.324065,53.760136,36.996134,36.61213,0.938939,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17159,2794,?,?,?
cpu,5,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,53.142268,114.053903,51.150283,48.383874,0.940087,0,0,?,?,?,?,?,?,0.001,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.614524,41.902326,49.009956,57.127719,0.909312,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,50.267716,79.259608,30.414251,27.947841,0.969912,0,0,?,?,?,?,?,?,0,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,39.164108,47.712491,41.056361,36.911517,0.942601,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,26.29267,34.763121,39.452045,44.595873,0.942291,0,0,?,?,?,?,?,?,0.005,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,51.41314,87.775515,54.895559,81.369586,0.632295,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,32.00029,37.997943,45.61863,51.34644,0.854432,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,5,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.894252,53.265798,32.971014,41.446822,0.938045,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
